Jahr,sunshine_duration,t2_mean,summer_days,ice_days
1951,1643.4,8.99,20.05,4.57
1952,1484.9,8.1,19.93,15.65
1953,1609.5,9.4,27.07,14.28
1954,1483.9,8.12,14.07,28.44
1955,1626.2,7.97,20.74,26.8
1956,1428.5,7.32,9.14,35.83
1957,1548.1,9.04,19.15,8.07
1958,1387.4,8.57,17.91,11.8
1959,1898.7,9.45,43.96,16.11
1960,1329.4,8.81,12.07,15.24
1961,1356.2,9.23,18.67,17.34
1962,1301.7,7.42,6.64,25.35
1963,1488.1,7.32,17.98,60.71
1964,1561.2,8.35,30.21,26.81
1965,1404.0,7.86,7.67,18.12
1966,1347.0,8.69,22.62,27.23
1967,1492.2,9.39,17.57,8.92
1968,1490.7,8.61,23.47,22.87
1969,1453.0,8.2,31.67,40.82
1970,1432.5,8.07,25.12,33.52
1971,1540.9,8.94,26.7,15.79
1972,1468.0,8.24,17.53,16.39
1973,1544.7,8.77,29.85,7.36
1974,1436.5,9.29,10.92,1.23
1975,1672.1,9.49,37.45,2.96
1976,1703.7,8.84,39.4,20.15
1977,1327.2,9.06,12.23,7.33
1978,1289.1,8.28,17.77,24.57
1979,1328.1,7.77,17.75,31.98
1980,1448.7,8.16,14.36,23.39
1981,1310.7,8.55,18.96,24.36
1982,1659.1,9.3,35.26,14.21
1983,1502.5,9.53,42.94,12.83
1984,1311.1,8.5,15.84,10.19
1985,1382.4,7.8,16.4,39.7
1986,1514.6,8.24,26.16,34.0
1987,1294.0,7.73,12.25,32.93
1988,1342.5,9.51,16.09,4.12
1989,1697.0,9.99,34.1,5.67
1990,1578.7,10.08,25.98,4.43
1991,1605.7,8.8,24.98,14.58
1992,1562.8,9.89,41.26,9.51
1993,1427.1,8.64,19.48,17.17
1994,1559.3,9.84,34.22,9.71
1995,1665.1,9.32,43.62,19.4
1996,1468.3,7.46,21.27,45.44
1997,1662.3,9.35,35.34,14.5
1998,1287.9,9.48,18.33,12.83
1999,1627.2,10.21,39.94,6.2
2000,1421.9,10.27,21.16,6.11
2001,1411.2,9.41,28.04,13.43
2002,1449.2,9.88,29.58,14.15
2003,1913.0,9.66,47.95,15.02
2004,1513.5,9.53,25.7,6.59
2005,1674.4,9.64,33.17,13.32
2006,1661.9,10.22,51.21,13.16
2007,1537.0,10.41,25.94,6.77
2008,1597.5,9.99,27.66,5.5
2009,1681.4,9.71,32.65,16.6
2010,1513.5,8.11,31.32,54.36
2011,1670.0,9.99,30.49,9.8
2012,1508.5,9.45,29.31,19.3
2013,1483.6,9.06,31.16,22.23
2014,1573.7,10.79,32.73,10.49
2015,1627.0,10.15,30.8,2.45
2016,1574.3,9.94,38.52,9.55
2017,1425.0,9.97,24.6,9.92
2018,1960.4,10.73,70.34,9.68
