Time,u100,v100
2021-01-01 00:00:00,9.69187,-7.62308
2021-01-01 01:00:00,9.913,-7.13997
2021-01-01 02:00:00,9.77244,-7.08854
2021-01-01 03:00:00,9.28721,-7.10691
2021-01-01 04:00:00,9.32033,-7.16753
2021-01-01 05:00:00,9.77602,-7.22906
2021-01-01 06:00:00,10.0831,-7.35122
2021-01-01 07:00:00,10.88883,-7.8279
2021-01-01 08:00:00,10.91927,-7.68278
2021-01-01 09:00:00,10.75454,-7.22723
2021-01-01 10:00:00,9.74648,-5.34439
2021-01-01 11:00:00,10.14218,-6.67799
2021-01-01 12:00:00,10.05893,-6.90668
2021-01-01 13:00:00,10.14845,-6.73677
2021-01-01 14:00:00,10.24693,-6.54022
2021-01-01 15:00:00,10.76797,-6.22978
2021-01-01 16:00:00,9.75722,-6.1609
2021-01-01 17:00:00,9.09204,-5.61717
2021-01-01 18:00:00,8.8351,-5.06794
2021-01-01 19:00:00,8.66858,-4.73086
2021-01-01 20:00:00,8.44566,-4.68861
2021-01-01 21:00:00,8.66858,-4.56738
2021-01-01 22:00:00,7.47699,-4.29919
2021-01-01 23:00:00,6.98012,-4.78964
2021-01-02 00:00:00,7.71574,-5.0055
2021-01-02 01:00:00,6.62074,-5.29381
2021-01-02 02:00:00,6.79857,-4.74088
2021-01-02 03:00:00,7.24007,-4.44114
2021-01-02 04:00:00,6.72849,-4.37335
2021-01-02 05:00:00,6.63914,-4.59795
2021-01-02 06:00:00,6.57344,-4.75885
2021-01-02 07:00:00,6.67067,-4.70331
2021-01-02 08:00:00,6.75302,-4.82092
2021-01-02 09:00:00,6.81171,-4.89198
2021-01-02 10:00:00,5.40047,-3.37203
2021-01-02 11:00:00,5.57042,-3.65299
2021-01-02 12:00:00,5.38295,-3.50271
2021-01-02 13:00:00,5.05883,-2.86728
2021-01-02 14:00:00,5.17622,-2.33395
2021-01-02 15:00:00,5.5345,-2.01134
2021-01-02 16:00:00,5.67291,-1.9019
2021-01-02 17:00:00,5.72722,-1.95989
2021-01-02 18:00:00,5.63349,-1.99827
2021-01-02 19:00:00,5.59407,-2.12323
2021-01-02 20:00:00,5.77365,-2.27025
2021-01-02 21:00:00,5.84548,-2.50465
2021-01-02 22:00:00,3.25778,-2.23513
2021-01-02 23:00:00,2.99848,-1.7214
2021-01-03 00:00:00,4.13063,-1.94174
2021-01-03 01:00:00,6.43864,-1.01373
2021-01-03 02:00:00,8.44112,-0.90633
2021-01-03 03:00:00,8.76903,-1.84376
2021-01-03 04:00:00,9.01715,-2.50985
2021-01-03 05:00:00,8.31463,-2.77365
2021-01-03 06:00:00,7.74443,-2.68603
2021-01-03 07:00:00,7.64227,-2.57203
2021-01-03 08:00:00,7.47102,-2.42883
2021-01-03 09:00:00,7.62767,-2.25547
2021-01-03 10:00:00,5.83245,-0.24683
2021-01-03 11:00:00,7.3202,-0.7895
2021-01-03 12:00:00,8.74859,-2.7614
2021-01-03 13:00:00,9.16115,-4.45349
2021-01-03 14:00:00,8.77584,-5.11864
2021-01-03 15:00:00,8.55885,-5.40599
2021-01-03 16:00:00,8.2144,-5.58217
2021-01-03 17:00:00,8.13072,-5.80734
2021-01-03 18:00:00,8.157,-5.44179
2021-01-03 19:00:00,8.18035,-5.0329
2021-01-03 20:00:00,8.10056,-4.7041
2021-01-03 21:00:00,7.76681,-4.39507
2021-01-03 22:00:00,7.05456,-3.3672
2021-01-03 23:00:00,8.05969,-4.56749
2021-01-04 00:00:00,7.88326,-4.82611
2021-01-04 01:00:00,7.17278,-4.48987
2021-01-04 02:00:00,6.74868,-4.08847
2021-01-04 03:00:00,7.08397,-3.88429
2021-01-04 04:00:00,8.49595,-4.30394
2021-01-04 05:00:00,9.15355,-4.7679
2021-01-04 06:00:00,8.66858,-4.84783
2021-01-04 07:00:00,8.16566,-4.79744
2021-01-04 08:00:00,7.6797,-4.83741
2021-01-04 09:00:00,7.58689,-4.52984
2021-01-04 10:00:00,8.01398,-5.44386
2021-01-04 11:00:00,8.16167,-5.43343
2021-01-04 12:00:00,8.15368,-4.8209
2021-01-04 13:00:00,7.71562,-4.6228
2021-01-04 14:00:00,6.87541,-4.82524
